b1,1CC rate,2CC rate,Game 1 rate,strat,strat_space,transition
1.0,0.012793016608743745,0.01865956596765439,0.4474453161044273,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.28,0.01244743206907797,0.006959537612114253,0.563775098077062,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.56,0.029530670693352353,0.010769377890246437,0.4680566776749877,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.84,0.06843357839122234,0.006781524743169283,0.6056563920504207,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.12,0.28627178700924116,0.00620233291395108,0.7020015371742523,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.4000000000000004,0.8904699473826393,0.0018093964637335095,0.929819169135063,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.68,0.9556326816505162,0.0002769831225995951,0.9678824843668572,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.96,0.9091229045863823,0.0009461323724863848,0.9751833082091905,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.0,0.02639300479625474,0.019924385586143067,0.5623009826978287,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.28,0.013616479017826881,0.012765319450573036,0.4830967492622157,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.56,0.02217149584990792,0.0034262762136934447,0.6408306878662198,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.84,0.05531325576707176,0.00496801728252926,0.6178440999212851,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.12,0.2069222431511272,0.0048200905188743445,0.6152956272262553,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.4000000000000004,0.6503456254043906,0.0017362357228531472,0.8662724770854756,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.68,0.9724039477820368,0.00042559801393418173,0.9952772933841505,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.96,0.985867191987713,0.00182425104692599,0.9887671066950355,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
