b1,1CC rate,2CC rate,Game 1 rate,strat
2.0,0.06666990997021637,0.0,1.0,S_02
4.0,0.09258250259355502,0.0,1.0,S_02
6.0,0.10658435277355066,0.0,1.0,S_02
8.0,0.11582652638354742,0.0,1.0,S_02
10.0,0.12895470740354334,0.0,1.0,S_02
2.0,0.06712139020021948,0.0,1.0,S_02
4.0,0.09093359202355386,0.0,1.0,S_02
6.0,0.1074624497268858,0.0,1.0,S_02
8.0,0.11933476917021289,0.0,1.0,S_02
10.0,0.1278595504402098,0.0,1.0,S_02
2.0,0.06850744087688874,0.0,1.0,S_02
4.0,0.08955879546022388,0.0,1.0,S_02
6.0,0.10834606894688653,0.0,1.0,S_02
8.0,0.11818135562021315,0.0,1.0,S_02
10.0,0.1277817613302092,0.0,1.0,S_02
2.0,0.06815604840355088,0.0,1.0,S_02
4.0,0.09026851650688728,0.0,1.0,S_02
6.0,0.10852292951688472,0.0,1.0,S_02
8.0,0.11912420447688012,0.0,1.0,S_02
10.0,0.12627423409354224,0.0,1.0,S_02
2.0,0.06687968291688715,0.0,1.0,S_02
4.0,0.09400411533688727,0.0,1.0,S_02
6.0,0.10747312832688286,0.0,1.0,S_02
8.0,0.11894834190687849,0.0,1.0,S_02
10.0,0.1284590739902098,0.0,1.0,S_02
