Strat,No. Timesteps,1CC rate
S_08,1.00E+03,3.25E-01
S_08,1.00E+03,7.75E-03
S_08,1.00E+03,7.10E-01
S_08,1.00E+03,1.65E-02
S_08,1.00E+03,3.32E-02
S_08,1.00E+04,2.61E-01
S_08,1.00E+04,2.51E-01
S_08,1.00E+04,4.14E-01
S_08,1.00E+04,6.45E-01
S_08,1.00E+04,4.57E-01
S_08,1.00E+05,3.83E-01
S_08,1.00E+05,5.06E-01
S_08,1.00E+05,5.98E-01
S_08,1.00E+05,3.46E-01
S_08,1.00E+05,3.39E-01
S_08,1.00E+06,4.47E-01
S_08,1.00E+06,4.94E-01
S_08,1.00E+06,4.70E-01
S_08,1.00E+06,5.02E-01
S_08,1.00E+06,4.89E-01
S_08,2.00E+05,4.08E-01
S_08,2.00E+05,2.73E-01
S_08,2.00E+05,5.45E-01
S_08,2.00E+05,5.23E-01
S_08,2.00E+05,3.39E-01
S_08,3.00E+05,4.13E-01
S_08,3.00E+05,4.66E-01
S_08,3.00E+05,4.02E-01
S_08,3.00E+05,4.88E-01
S_08,3.00E+05,4.50E-01
S_12,1.00E+03,1.28E-01
S_12,1.00E+03,1.07E-01
S_12,1.00E+03,2.94E-01
S_12,1.00E+03,1.04E-01
S_12,1.00E+03,7.85E-01
S_12,1.00E+04,6.21E-01
S_12,1.00E+04,1.82E-01
S_12,1.00E+04,8.64E-01
S_12,1.00E+04,4.51E-01
S_12,1.00E+04,3.52E-01
S_12,1.00E+05,5.43E-01
S_12,1.00E+05,5.93E-01
S_12,1.00E+05,6.10E-01
S_12,1.00E+05,6.20E-01
S_12,1.00E+05,6.14E-01
S_12,1.00E+06,5.57E-01
S_12,1.00E+06,5.65E-01
S_12,1.00E+06,5.76E-01
S_12,1.00E+06,5.99E-01
S_12,1.00E+06,5.71E-01
S_12,2.00E+05,6.48E-01
S_12,2.00E+05,5.68E-01
S_12,2.00E+05,5.70E-01
S_12,2.00E+05,5.25E-01
S_12,2.00E+05,5.20E-01
S_12,3.00E+05,4.96E-01
S_12,3.00E+05,4.95E-01
S_12,3.00E+05,5.24E-01
S_12,3.00E+05,5.57E-01
S_12,3.00E+05,5.46E-01
S_16,1.00E+03,3.60E-01
S_16,1.00E+03,2.89E-02
S_16,1.00E+03,3.14E-01
S_16,1.00E+03,2.64E-02
S_16,1.00E+03,4.50E-02
S_16,1.00E+04,1.51E-01
S_16,1.00E+04,7.37E-01
S_16,1.00E+04,2.21E-01
S_16,1.00E+04,1.42E-01
S_16,1.00E+04,1.41E-01
S_16,1.00E+05,4.79E-01
S_16,1.00E+05,4.18E-01
S_16,1.00E+05,4.87E-01
S_16,1.00E+05,6.64E-01
S_16,1.00E+05,4.28E-01
S_16,1.00E+06,5.11E-01
S_16,1.00E+06,4.97E-01
S_16,1.00E+06,4.77E-01
S_16,1.00E+06,4.65E-01
S_16,1.00E+06,4.58E-01
S_16,2.00E+05,5.64E-01
S_16,2.00E+05,4.08E-01
S_16,2.00E+05,4.57E-01
S_16,2.00E+05,5.14E-01
S_16,2.00E+05,4.50E-01
S_16,3.00E+05,4.99E-01
S_16,3.00E+05,5.16E-01
S_16,3.00E+05,5.40E-01
S_16,3.00E+05,5.41E-01
S_16,3.00E+05,5.07E-01
