b1,1CC rate,2CC rate,Game 1 rate,beta,CC rate,strat,strat_space,transition,N,eps
1.8,0.1737635496527752,0.19266468140343815,0.4188328975053999,0.0001,0.36642823105621336,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.19274423711581443,0.20850589052702148,0.4202508358482129,0.0001,0.4012501276428359,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.17831712701439972,0.19843253995869511,0.4108572454243751,0.0001,0.37674966697309487,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.19715740943841975,0.21986599394986361,0.42074113034458127,0.0001,0.41702340338828336,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.19645707892613062,0.1868873713488556,0.4233901534550883,0.0001,0.3833444502749862,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.18670399281786612,0.19728951243576018,0.43222344882425456,0.001,0.3839935052536263,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.18397362101854495,0.20262464711178058,0.42397451455607194,0.001,0.3865982681303255,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.18753006873343325,0.21302052684095588,0.42513440257983154,0.001,0.4005505955743891,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.20682553933521128,0.1873875910837383,0.44460657590662,0.001,0.39421313041894956,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.18198882404265085,0.19229082788177865,0.41937567582426893,0.001,0.37427965192442947,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.17762331572191697,0.16337095127533133,0.4441618712523213,0.01,0.34099426699724833,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.19279859184236245,0.1600335260804787,0.43788807782695444,0.01,0.35283211792284114,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.18471939052758254,0.15368467233200175,0.44874746735470883,0.01,0.3384040628595843,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.1916379626584641,0.15560880869218305,0.4353024333822561,0.01,0.3472467713506472,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.1846346913171808,0.17021120320095778,0.45812687314898104,0.01,0.3548458945181386,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.19764280809603055,0.0532696462837573,0.5321786630509113,0.1,0.2509124543797878,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.20074695910795576,0.04945149587922596,0.4841363053290214,0.1,0.25019845498718174,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.18739149932472682,0.05053273166796383,0.5280576549641024,0.1,0.23792423099269064,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.18726379029537213,0.05644901405962783,0.5068271430817497,0.1,0.24371280435499995,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.20040066906000722,0.04469793278895373,0.508548622317252,0.1,0.24509860184896096,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.31656019159987514,0.02275235153270192,0.6229092449087076,1,0.3393125431325771,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.3163796148625908,0.020638994110299878,0.6221652951152512,1,0.3370186089728907,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.329333273319828,0.022115517052175106,0.6221956788472813,1,0.3514487903720031,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
